사고다발지FID,사고다발지ID,법정동코드,지점코드,시도시군구명,지점명,발생건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도,다발지역폴리곤
145935,2013098,1111018000,11110001,서울특별시 종로구1,서울특별시 종로구 교북동(독립문_의주로_진출_1 부근),3,3,0,3,0,0,126.96063,37.57193743,"{""type"":""Polygon"",""coordinates"":[[[126.9622309,37.5732116],[126.9618879,37.5734357],[126.9614964,37.5736022],[126.9610717,37.5737048],[126.96063,37.5737394],[126.9601884,37.5737048],[126.9597636,37.5736022],[126.9593722,37.5734357],[126.9590292,37.5732116],[126.9587476,37.5729385],[126.9585384,37.572627],[126.9584096,37.572289],[126.9583661,37.5719374],[126.9584096,37.5715859],[126.9585384,37.5712478],[126.9587476,37.5709363],[126.9590292,37.5706632],[126.9593723,37.5704391],[126.9597637,37.5702726],[126.9601884,37.5701701],[126.96063,37.5701354],[126.9610717,37.5701701],[126.9614964,37.5702726],[126.9618878,37.5704391],[126.9622309,37.5706632],[126.9625124,37.5709363],[126.9627217,37.5712478],[126.9628505,37.5715859],[126.962894,37.5719374],[126.9628505,37.572289],[126.9627217,37.572627],[126.9625125,37.5729385],[126.9622309,37.5732116]]]}"
144334,2013098,1111016700,11110002,서울특별시 종로구2,서울특별시 종로구 충신동(이화사거리 부근),5,5,0,5,0,0,127.0044025,37.57610432,"{""type"":""Polygon"",""coordinates"":[[[127.0060035,37.5773785],[127.0056604,37.5776026],[127.005269,37.5777691],[127.0048442,37.5778717],[127.0044025,37.5779063],[127.0039608,37.5778717],[127.0035361,37.5777691],[127.0031446,37.5776026],[127.0028015,37.5773785],[127.00252,37.5771054],[127.0023107,37.5767939],[127.0021819,37.5764558],[127.0021384,37.5761043],[127.0021819,37.5757527],[127.0023108,37.5754147],[127.00252,37.5751032],[127.0028016,37.5748301],[127.0031447,37.574606],[127.0035361,37.5744395],[127.0039608,37.574337],[127.0044025,37.5743023],[127.0048442,37.574337],[127.0052689,37.5744395],[127.0056604,37.574606],[127.0060034,37.5748301],[127.006285,37.5751032],[127.0064942,37.5754147],[127.0066231,37.5757527],[127.0066666,37.5761043],[127.0066231,37.5764558],[127.0064943,37.5767939],[127.0062851,37.5771054],[127.0060035,37.5773785]]]}"
151689,2013098,1111015400,11110003,서울특별시 종로구3,서울특별시 종로구 장사동(종묘공원 부근),6,6,0,4,1,1,126.9936466,37.57070618,"{""type"":""Polygon"",""coordinates"":[[[126.9952475,37.5719804],[126.9949044,37.5722045],[126.994513,37.572371],[126.9940883,37.5724735],[126.9936466,37.5725082],[126.993205,37.5724735],[126.9927803,37.572371],[126.9923888,37.5722045],[126.9920458,37.5719804],[126.9917642,37.5717073],[126.991555,37.5713958],[126.9914262,37.5710577],[126.9913827,37.5707062],[126.9914262,37.5703546],[126.9915551,37.5700166],[126.9917643,37.569705],[126.9920458,37.569432],[126.9923889,37.5692079],[126.9927803,37.5690414],[126.993205,37.5689388],[126.9936466,37.5689042],[126.9940883,37.5689388],[126.994513,37.5690414],[126.9949044,37.5692079],[126.9952475,37.569432],[126.995529,37.569705],[126.9957382,37.5700166],[126.9958671,37.5703546],[126.9959106,37.5707062],[126.9958671,37.5710577],[126.9957383,37.5713958],[126.9955291,37.5717073],[126.9952475,37.5719804]]]}"
151688,2013098,1111017400,11110004,서울특별시 종로구4,서울특별시 종로구 창신동(동묘앞역_다산로_진입 부근),6,6,1,5,0,0,127.0168556,37.57235887,"{""type"":""Polygon"",""coordinates"":[[[127.0184565,37.5736331],[127.0181134,37.5738572],[127.017722,37.5740237],[127.0172973,37.5741262],[127.0168556,37.5741609],[127.0164139,37.5741262],[127.0159892,37.5740237],[127.0155978,37.5738572],[127.0152547,37.5736331],[127.0149731,37.57336],[127.0147639,37.5730484],[127.0146351,37.5727104],[127.0145916,37.5723588],[127.0146351,37.5720073],[127.014764,37.5716693],[127.0149732,37.5713577],[127.0152547,37.5710847],[127.0155978,37.5708606],[127.0159892,37.570694],[127.0164139,37.5705915],[127.0168556,37.5705569],[127.0172973,37.5705915],[127.017722,37.570694],[127.0181134,37.5708606],[127.0184564,37.5710847],[127.018738,37.5713577],[127.0189472,37.5716693],[127.0190761,37.5720073],[127.0191196,37.5723588],[127.0190761,37.5727104],[127.0189473,37.5730484],[127.018738,37.57336],[127.0184565,37.5736331]]]}"
144645,2013098,1114016000,11140001,서울특별시 중구1,서울특별시 중구 인현동1가(대림상가앞 부근),3,3,0,1,2,0,126.9953415,37.56637998,"{""type"":""Polygon"",""coordinates"":[[[126.9969423,37.5676542],[126.9965992,37.5678783],[126.9962078,37.5680448],[126.9957832,37.5681473],[126.9953415,37.568182],[126.9948999,37.5681473],[126.9944752,37.5680448],[126.9940838,37.5678783],[126.9937407,37.5676542],[126.9934592,37.5673811],[126.99325,37.5670696],[126.9931212,37.5667315],[126.9930777,37.56638],[126.9931212,37.5660284],[126.9932501,37.5656904],[126.9934593,37.5653788],[126.9937408,37.5651058],[126.9940838,37.5648817],[126.9944752,37.5647152],[126.9948999,37.5646126],[126.9953415,37.564578],[126.9957831,37.5646126],[126.9962078,37.5647152],[126.9965992,37.5648817],[126.9969422,37.5651058],[126.9972238,37.5653788],[126.997433,37.5656904],[126.9975618,37.5660284],[126.9976053,37.56638],[126.9975618,37.5667315],[126.997433,37.5670696],[126.9972238,37.5673811],[126.9969423,37.5676542]]]}"
144644,2013098,1114016900,11140002,서울특별시 중구2,서울특별시 중구 의주로1가(청암빌딩 부근),4,4,0,3,1,0,126.9714998,37.55812583,"{""type"":""Polygon"",""coordinates"":[[[126.9731004,37.5594],[126.9727574,37.5596241],[126.972366,37.5597907],[126.9719414,37.5598932],[126.9714998,37.5599278],[126.9710582,37.5598932],[126.9706336,37.5597907],[126.9702422,37.5596241],[126.9698992,37.5594],[126.9696177,37.559127],[126.9694085,37.5588154],[126.9692797,37.5584774],[126.9692363,37.5581258],[126.9692798,37.5577743],[126.9694086,37.5574362],[126.9696178,37.5571247],[126.9698993,37.5568516],[126.9702423,37.5566275],[126.9706336,37.556461],[126.9710582,37.5563585],[126.9714998,37.5563238],[126.9719414,37.5563585],[126.972366,37.556461],[126.9727573,37.5566275],[126.9731003,37.5568516],[126.9733819,37.5571247],[126.973591,37.5574362],[126.9737198,37.5577743],[126.9737634,37.5581258],[126.9737199,37.5584774],[126.9735911,37.5588154],[126.9733819,37.559127],[126.9731004,37.5594]]]}"
144641,2013098,1114016200,11140003,서울특별시 중구3,서울특별시 중구 신당동(약수역_다산로_진출_1 부근),8,8,1,3,3,1,127.0105388,37.55407588,"{""type"":""Polygon"",""coordinates"":[[[127.0121393,37.5553501],[127.0117963,37.5555742],[127.011405,37.5557407],[127.0109803,37.5558433],[127.0105388,37.5558779],[127.0100972,37.5558433],[127.0096726,37.5557407],[127.0092812,37.5555742],[127.0089382,37.5553501],[127.0086568,37.555077],[127.0084476,37.5547655],[127.0083188,37.5544274],[127.0082753,37.5540759],[127.0083188,37.5537243],[127.0084476,37.5533863],[127.0086568,37.5530747],[127.0089383,37.5528017],[127.0092813,37.5525776],[127.0096726,37.5524111],[127.0100972,37.5523085],[127.0105388,37.5522739],[127.0109803,37.5523085],[127.0114049,37.5524111],[127.0117962,37.5525776],[127.0121392,37.5528017],[127.0124207,37.5530747],[127.0126299,37.5533863],[127.0127587,37.5537243],[127.0128022,37.5540759],[127.0127587,37.5544274],[127.0126299,37.5547655],[127.0124208,37.555077],[127.0121393,37.5553501]]]}"
144651,2013098,1117012500,11170001,서울특별시 용산구1,서울특별시 용산구 한강로2가(철도건설본부 부근),3,3,0,2,0,1,126.9668147,37.52917496,"{""type"":""Polygon"",""coordinates"":[[[126.9684147,37.5304492],[126.9680718,37.5306733],[126.9676806,37.5308398],[126.9672561,37.5309423],[126.9668147,37.530977],[126.9663732,37.5309423],[126.9659488,37.5308398],[126.9655576,37.5306733],[126.9652147,37.5304492],[126.9649333,37.5301761],[126.9647242,37.5298645],[126.9645955,37.5295265],[126.964552,37.5291749],[126.9645955,37.5288234],[126.9647243,37.5284853],[126.9649334,37.5281738],[126.9652148,37.5279007],[126.9655576,37.5276766],[126.9659488,37.5275101],[126.9663733,37.5274076],[126.9668147,37.527373],[126.9672561,37.5274076],[126.9676805,37.5275101],[126.9680717,37.5276766],[126.9684146,37.5279007],[126.968696,37.5281738],[126.9689051,37.5284853],[126.9690339,37.5288234],[126.9690773,37.5291749],[126.9690339,37.5295265],[126.9689051,37.5298645],[126.968696,37.5301761],[126.9684147,37.5304492]]]}"
138784,2013098,1117013100,11170002,서울특별시 용산구2,서울특별시 용산구 한남동(순천향병원 부근),3,3,0,2,1,0,127.0044759,37.5334617,"{""type"":""Polygon"",""coordinates"":[[[127.006076,37.5347359],[127.0057331,37.53496],[127.0053419,37.5351265],[127.0049174,37.5352291],[127.0044759,37.5352637],[127.0040345,37.5352291],[127.00361,37.5351265],[127.0032187,37.53496],[127.0028758,37.5347359],[127.0025944,37.5344628],[127.0023853,37.5341513],[127.0022566,37.5338132],[127.0022131,37.5334617],[127.0022566,37.5331101],[127.0023854,37.5327721],[127.0025945,37.5324606],[127.0028759,37.5321875],[127.0032188,37.5319634],[127.00361,37.5317969],[127.0040345,37.5316943],[127.0044759,37.5316597],[127.0049174,37.5316943],[127.0053418,37.5317969],[127.005733,37.5319634],[127.0060759,37.5321875],[127.0063573,37.5324606],[127.0065665,37.5327721],[127.0066952,37.5331101],[127.0067387,37.5334617],[127.0066953,37.5338132],[127.0065665,37.5341513],[127.0063574,37.5344628],[127.006076,37.5347359]]]}"
144649,2013098,1117013000,11170003,서울특별시 용산구3,서울특별시 용산구 이태원동(그랜드하얏트서울호텔 부근),3,3,0,3,0,0,126.9961857,37.54118464,"{""type"":""Polygon"",""coordinates"":[[[126.9977859,37.5424588],[126.997443,37.5426829],[126.9970517,37.5428495],[126.9966272,37.542952],[126.9961857,37.5429866],[126.9957441,37.542952],[126.9953196,37.5428495],[126.9949284,37.5426829],[126.9945854,37.5424588],[126.994304,37.5421858],[126.9940949,37.5418742],[126.9939661,37.5415362],[126.9939226,37.5411846],[126.9939661,37.5408331],[126.9940949,37.540495],[126.994304,37.5401835],[126.9945855,37.5399104],[126.9949284,37.5396863],[126.9953196,37.5395198],[126.9957442,37.5394173],[126.9961857,37.5393826],[126.9966271,37.5394173],[126.9970517,37.5395198],[126.9974429,37.5396863],[126.9977858,37.5399104],[126.9980673,37.5401835],[126.9982764,37.540495],[126.9984052,37.5408331],[126.9984487,37.5411846],[126.9984052,37.5415362],[126.9982764,37.5418742],[126.9980673,37.5421858],[126.9977859,37.5424588]]]}"
